n,k,gamma,mu,a,cost
3,11,0.4,1,10.63665302,37.53261967
3,12,0.4,1,11.50384801,43.99492371
3,13,0.4,1,12.36954013,51.01050338
3,14,0.4,1,13.23515723,58.58092354
3,15,0.4,1,14.10185756,66.70772302
3,16,0.4,1,14.97081684,75.3923836
3,17,0.4,1,15.84248071,84.63629898
4,0,0.4,1,0,2.791843349
4,1,0.4,1,1.03111154,3.604292104
4,2,0.4,1,2.203305791,4.72595
4,3,0.4,1,3.289291852,6.328738521
4,4,0.4,1,4.304029861,8.446007971
4,5,0.4,1,5.269999111,11.09177643
4,6,0.4,1,6.202730526,14.27343806
4,7,0.4,1,7.112640014,17.9956022
4,8,0.4,1,8.006811177,22.26151895
4,9,0.4,1,8.890030579,27.07369432
4,10,0.4,1,9.765676291,32.43418501
4,11,0.4,1,10.63613834,38.34475202
4,12,0.4,1,11.50310958,44.80694654
4,13,0.4,1,0,58.58092354
4,14,0.4,1,0,66.70772302
4,15,0.4,1,0,75.3923836
4,16,0.4,1,0,84.63629898
5,0,0.4,1,0,3.604292104
5,1,0.4,1,1.031088008,4.416731539
5,2,0.4,1,2.203274178,5.53838685
5,3,0.4,1,3.289257702,7.141172998
5,4,0.4,1,4.303992009,9.258439881
5,5,0.4,1,5.26995912,11.90420556
5,6,0.4,1,6.202685213,15.08586421
5,7,0.4,1,7.112598549,18.8080252
5,8,0.4,1,8.006758984,23.07393866
5,9,0.4,1,8.889975941,27.88611061
5,10,0.4,1,9.765650109,33.24659778
5,11,0.4,1,10.63609375,39.15716119
5,12,0.4,1,11.50329787,45.61942028
5,13,0.4,1,12.36885819,52.63494958
5,14,0.4,1,13.23447437,60.20530893
5,15,0.4,1,14.10113365,68.33203074
6,0,0.4,1,0,4.416731539
6,1,0.4,1,1.031085804,5.229170052
6,2,0.4,1,2.203271284,6.350825108
6,3,0.4,1,3.289253764,7.953611023
6,4,0.4,1,4.303987672,10.07087765
6,5,0.4,1,5.269955056,12.71664306
6,6,0.4,1,6.20267995,15.89830142
6,7,0.4,1,7.112587278,19.6204621
6,8,0.4,1,8.006750984,23.88637524
6,9,0.4,1,8.889968637,28.69854686
6,10,0.4,1,9.765644066,34.05903369
6,11,0.4,1,10.63610632,39.96959675
6,12,0.4,1,11.50306415,46.43178724
6,13,0.4,1,0,60.20530893
6,14,0.4,1,0,68.33203074
7,0,0.4,1,0,5.229170052
7,1,0.4,1,1.031085353,6.041608474
7,2,0.4,1,2.203270983,7.163263505
7,3,0.4,1,3.289253548,8.766049397
7,4,0.4,1,4.303987806,10.883316
7,5,0.4,1,5.269955473,13.52908138
7,6,0.4,1,6.202675739,16.71073971
7,7,0.4,1,7.112587416,20.43290036
7,8,0.4,1,8.006772654,24.69881347
7,9,0.4,1,8.889979299,29.51098506
7,10,0.4,1,9.76564285,34.87147186
7,11,0.4,1,10.63608376,40.78203488
7,12,0.4,1,11.50327851,47.24429357
7,13,0.4,1,12.36891155,54.25982245
8,0,0.4,1,0,6.041608474
8,1,0.4,1,1.031085157,6.854046887
8,2,0.4,1,2.203271352,7.975701916
8,3,0.4,1,3.289253273,9.578487806
8,4,0.4,1,4.303987789,11.69575441
8,5,0.4,1,5.269955893,14.34151979
8,6,0.4,1,6.202678114,17.52317811
8,7,0.4,1,7.112595472,21.24533876
8,8,0.4,1,8.006759249,25.51125187
8,9,0.4,1,8.889981229,30.32342345
8,10,0.4,1,9.7656328,35.68391024
8,11,0.4,1,10.63606357,41.59447327
8,12,0.4,1,11.50307052,48.05666372
9,0,0.4,1,0,6.854046887
9,1,0.4,1,1.031085514,7.6664853
9,2,0.4,1,2.203270776,8.788140328
9,3,0.4,1,3.28925395,10.39092622
9,4,0.4,1,4.303987365,12.50819282
9,5,0.4,1,5.269954857,15.1539582
9,6,0.4,1,6.20267864,18.33561652
9,7,0.4,1,7.1125887,22.05777717
9,8,0.4,1,8.006738823,26.32369028
9,9,0.4,1,8.88996229,31.13586186
9,10,0.4,1,9.765628661,36.49634865
9,11,0.4,1,10.63609173,42.40691167
10,0,0.4,1,0,7.6664853
10,1,0.4,1,1.031085875,8.478923712
10,2,0.4,1,2.203271146,9.600578741
10,3,0.4,1,3.289252885,11.20336463
10,4,0.4,1,4.303987946,13.32063123
10,5,0.4,1,5.269955319,15.96639661
10,6,0.4,1,6.202680444,19.14805493
10,7,0.4,1,7.11259059,22.87021558
10,8,0.4,1,8.00677402,27.13612869
10,9,0.4,1,8.889968003,31.94830027
10,10,0.4,1,9.765620947,37.30878707
11,0,0.4,1,0,8.478923712
11,1,0.4,1,1.031085833,9.291362124
11,2,0.4,1,2.203270191,10.41301715
11,3,0.4,1,3.289253523,12.01580304
11,4,0.4,1,4.303987175,14.13306965
11,5,0.4,1,5.269954977,16.77883502
11,6,0.4,1,6.202679475,19.96049335
11,7,0.4,1,7.112589195,23.68265399
11,8,0.4,1,8.006765091,27.9485671
11,9,0.4,1,8.889983174,32.76073868
12,0,0.4,1,0,9.291362124
12,1,0.4,1,1.03108527,10.10380054
12,2,0.4,1,2.20327201,11.22545557
12,3,0.4,1,3.289252928,12.82824145
12,4,0.4,1,4.303986974,14.94550806
12,5,0.4,1,5.269955204,17.59127343
12,6,0.4,1,6.202687614,20.77293176
12,7,0.4,1,7.112591134,24.49509241
12,8,0.4,1,8.006768416,28.76100551
13,0,0.4,1,0,10.10380054
13,1,0.4,1,1.031086343,10.91623895
13,2,0.4,1,2.203271407,12.03789398
13,3,0.4,1,3.28925391,13.64067987
13,4,0.4,1,4.303987251,15.75794647
13,5,0.4,1,5.269954527,18.40371185
13,6,0.4,1,6.20267896,21.58537017
13,7,0.4,1,7.112590556,25.30753082
14,0,0.4,1,0,10.91623895
14,1,0.4,1,1.031085377,11.72867736
14,2,0.4,1,2.20327091,12.85033239
14,3,0.4,1,3.289254082,14.45311828
14,4,0.4,1,4.3039882,16.57038488
14,5,0.4,1,5.269955204,19.21615026
14,6,0.4,1,6.202678842,22.39780858
15,0,0.4,1,0,11.72867736
15,1,0.4,1,1.03108543,12.54111577
15,2,0.4,1,2.203270591,13.6627708
15,3,0.4,1,3.289254183,15.26555669
15,4,0.4,1,4.303990226,17.38282329
15,5,0.4,1,5.269955659,20.02858867
16,0,0.4,1,0,12.54111577
16,1,0.4,1,1.031085973,13.35355419
16,2,0.4,1,2.203271291,14.47520921
16,3,0.4,1,3.289253292,16.0779951
16,4,0.4,1,4.303989278,18.19526171
17,0,0.4,1,0,13.35355419
17,1,0.4,1,1.031084908,14.1659926
17,2,0.4,1,2.203271086,15.28764763
17,3,0.4,1,3.289253205,16.89043352
18,0,0.4,1,0,14.1659926
18,1,0.4,1,1.03108543,14.97843101
18,2,0.4,1,2.203269504,16.10008604
19,0,0.4,1,0,14.97843101
19,1,0.4,1,1.031085364,15.79086942
20,0,0.4,1,0,15.79086942
0,0,0.5,1,nan,0
0,1,0.5,1,nan,0.5
0,2,0.5,1,nan,1.5
0,3,0.5,1,nan,3
0,4,0.5,1,nan,5
0,5,0.5,1,nan,7.5
0,6,0.5,1,nan,10.5
0,7,0.5,1,nan,14
0,8,0.5,1,nan,18
0,9,0.5,1,nan,22.5
0,10,0.5,1,nan,27.5
0,11,0.5,1,nan,33
0,12,0.5,1,nan,39
0,13,0.5,1,nan,45.5
0,14,0.5,1,nan,52.5
0,15,0.5,1,nan,60
0,16,0.5,1,nan,68
0,17,0.5,1,nan,76.5
0,18,0.5,1,nan,85.5
0,19,0.5,1,nan,95
0,20,0.5,1,nan,105
1,0,0.5,1,0,0.5
1,1,0.5,1,0.693146772,1.34657359
1,2,0.5,1,1.757112136,2.489685601
1,3,0.5,1,2.825782085,4.024747397
1,4,0.5,1,3.855047532,5.980256593
1,5,0.5,1,4.849204458,8.370887093
1,6,0.5,1,5.81636066,11.20494529
1,7,0.5,1,6.76318481,14.48769012
1,8,0.5,1,7.694709728,18.22276543
1,9,0.5,1,8.614672819,22.41287882
1,10,0.5,1,9.525874036,27.06015435
1,11,0.5,1,10.43044047,32.16632968
1,12,0.5,1,11.32990942,37.73287299
1,13,0.5,1,12.22553293,43.76105604
1,14,0.5,1,13.11828671,50.25200173
1,15,0.5,1,14.00885859,57.2067164
1,16,0.5,1,14.89780845,64.62611259
1,17,0.5,1,15.78558886,72.51102543
1,18,0.5,1,16.67264364,80.86222501
1,19,0.5,1,17.5592169,89.68042581
2,0,0.5,1,0,1.34657359
2,1,0.5,1,0.826901026,2.260024369
2,2,0.5,1,1.902226549,3.406832829
2,3,0.5,1,2.952235719,4.940607198
2,4,0.5,1,3.958718414,6.893747391
2,5,0.5,1,4.92978874,9.28108566
2,6,0.5,1,5.874213913,12.11078954
2,7,0.5,1,6.798804514,15.38800161
2,8,0.5,1,7.708669838,19.11629569
2,9,0.5,1,8.607564628,23.29834709
2,10,0.5,1,9.498330445,27.9362746
2,11,0.5,1,10.3830951,33.03182923
2,12,0.5,1,11.26333798,38.5865049
2,13,0.5,1,0,50.25200173
2,14,0.5,1,0,57.2067164
2,15,0.5,1,0,64.62611259
2,16,0.5,1,0,72.51102543
2,17,0.5,1,0,80.86222501
2,18,0.5,1,0,89.68042581
3,0,0.5,1,0,2.260024369
3,1,0.5,1,0.83012953,3.175089375
3,2,0.5,1,1.904804489,4.321691362
3,3,0.5,1,2.954045713,5.855272245
3,4,0.5,1,3.95980146,7.8082288
3,5,0.5,1,4.930222821,10.19537427
3,6,0.5,1,5.874032634,13.02486545
3,7,0.5,1,6.798052926,16.30183907
3,8,0.5,1,7.707360264,20.02986581
3,9,0.5,1,8.605750961,24.21161934
3,10,0.5,1,9.495990556,28.84921781
3,11,0.5,1,10.38021446,33.94441214
3,12,0.5,1,11.26027113,39.49876928
3,13,0.5,1,12.13786791,45.51377706
3,14,0.5,1,13.01463195,51.99087567
3,15,0.5,1,13.89181512,58.93144864
3,16,0.5,1,14.77033497,66.33680035
3,17,0.5,1,15.65085199,74.20813553
4,0,0.5,1,0,3.175089375
4,1,0.5,1,0.829949426,4.090064353
4,2,0.5,1,1.904541923,5.23663828
4,3,0.5,1,2.953748913,6.770198264
4,4,0.5,1,3.959481276,8.723134399
4,5,0.5,1,4.929883973,11.11025878
4,6,0.5,1,5.873686849,13.93972796
4,7,0.5,1,6.797694976,17.21667867
4,8,0.5,1,7.706976536,20.94468163
4,9,0.5,1,8.605356975,25.12641059
4,10,0.5,1,9.495593175,29.76398376
4,11,0.5,1,10.37981266,34.85915209
4,12,0.5,1,11.25960354,40.41340987
4,13,0.5,1,0,51.99087567
4,14,0.5,1,0,58.93144864
4,15,0.5,1,0,66.33680035
4,16,0.5,1,0,74.20813553
5,0,0.5,1,0,4.090064353
5,1,0.5,1,0.829924712,5.005027094
5,2,0.5,1,1.904508129,6.151598011
5,3,0.5,1,2.953712339,7.6851557
5,4,0.5,1,3.959442421,9.638089555
5,5,0.5,1,4.929843546,12.02521157
5,6,0.5,1,5.87364409,14.85467829
5,7,0.5,1,6.7976515,18.13162646
5,8,0.5,1,7.706952854,21.85962681
5,9,0.5,1,8.605320243,26.04135309
5,10,0.5,1,9.495566815,30.67892354
5,11,0.5,1,10.3798048,35.77408911
5,12,0.5,1,11.25981952,41.32841575
5,13,0.5,1,12.13740139,47.34338853
5,14,0.5,1,13.01410994,53.8204434
5,15,0.5,1,13.89118503,60.76095866
6,0,0.5,1,0,5.005027094
6,1,0.5,1,0.829922556,5.919988523
6,2,0.5,1,1.904504227,7.066559109
6,3,0.5,1,2.9537089,8.600116544
6,4,0.5,1,3.959437589,10.55305015
6,5,0.5,1,4.929839059,12.9401719
6,6,0.5,1,5.873637363,15.76963835
6,7,0.5,1,6.797649038,19.04658624
6,8,0.5,1,7.70694056,22.77458629
6,9,0.5,1,8.605310365,26.95631229
6,10,0.5,1,9.495554748,31.59388243
6,11,0.5,1,10.37977518,36.6890477
6,12,0.5,1,11.25955518,42.24330238
6,13,0.5,1,0,53.8204434
6,14,0.5,1,0,60.76095866
7,0,0.5,1,0,5.919988523
7,1,0.5,1,0.829922084,6.834949807
7,2,0.5,1,1.904504413,7.981520357
7,3,0.5,1,2.953707809,9.515077764
7,4,0.5,1,3.959437608,11.46801134
7,5,0.5,1,4.929838724,13.85513306
7,6,0.5,1,5.8736365,16.68459948
7,7,0.5,1,6.797649305,19.96154734
7,8,0.5,1,7.706937687,23.68954736
7,9,0.5,1,8.605315286,27.87127332
7,10,0.5,1,9.495557563,32.50884343
7,11,0.5,1,10.37976907,37.60400867
7,12,0.5,1,11.25982005,43.15833495
7,13,0.5,1,12.13741644,49.17330738
8,0,0.5,1,0,6.834949807
8,1,0.5,1,0.829921858,7.749911076
8,2,0.5,1,1.904504174,8.896481621
8,3,0.5,1,2.953707656,10.43003903
8,4,0.5,1,3.959437377,12.3829726
8,5,0.5,1,4.9298364,14.77009432
8,6,0.5,1,5.873638989,17.59956074
8,7,0.5,1,6.7976515,20.87650859
8,8,0.5,1,7.706943249,24.60450861
8,9,0.5,1,8.605316688,28.78623456
8,10,0.5,1,9.495539815,33.42380467
8,11,0.5,1,10.37978126,38.5189699
8,12,0.5,1,11.25955882,44.07322454
9,0,0.5,1,0,7.749911076
9,1,0.5,1,0.829921738,8.664872342
9,2,0.5,1,1.904503972,9.811442887
9,3,0.5,1,2.953708076,11.34500029
9,4,0.5,1,3.959437763,13.29793386
9,5,0.5,1,4.929837975,15.68505558
9,6,0.5,1,5.873639063,18.514522
9,7,0.5,1,6.797641663,21.79146985
9,8,0.5,1,7.706940033,25.51946987
9,9,0.5,1,8.605308734,29.70119583
9,10,0.5,1,9.495565091,34.33876593
9,11,0.5,1,10.37976006,39.43393116
10,0,0.5,1,0,8.664872342
10,1,0.5,1,0.82992222,9.579833609
10,2,0.5,1,1.904503696,10.72640415
10,3,0.5,1,2.953707953,12.25996156
10,4,0.5,1,3.959437628,14.21289513
10,5,0.5,1,4.929839554,16.60001685
10,6,0.5,1,5.873637049,19.42948327
10,7,0.5,1,6.797650417,22.70643112
10,8,0.5,1,7.706942076,26.43443114
10,9,0.5,1,8.605305035,30.61615709
10,10,0.5,1,9.495566633,35.2537272
11,0,0.5,1,0,9.579833609
11,1,0.5,1,0.829921634,10.49479488
11,2,0.5,1,1.904504493,11.64136542
11,3,0.5,1,2.953707632,13.17492282
11,4,0.5,1,3.959437354,15.12785639
11,5,0.5,1,4.929837824,17.51497811
11,6,0.5,1,5.87363956,20.34444453
11,7,0.5,1,6.797644847,23.62139238
11,8,0.5,1,7.706937579,27.3493924
11,9,0.5,1,8.605312599,31.53111836
12,0,0.5,1,0,10.49479488
12,1,0.5,1,0.829921734,11.40975614
12,2,0.5,1,1.904504543,12.55632669
12,3,0.5,1,2.953707138,14.08988409
12,4,0.5,1,3.959437562,16.04281766
12,5,0.5,1,4.929840324,18.42993938
12,6,0.5,1,5.873637679,21.2594058
12,7,0.5,1,6.797651482,24.53635365
12,8,0.5,1,7.706936653,28.26435367
13,0,0.5,1,0,11.40975614
13,1,0.5,1,0.829922371,12.32471741
13,2,0.5,1,1.904503829,13.47128795
13,3,0.5,1,2.953708121,15.00484536
13,4,0.5,1,3.959437704,16.95777893
13,5,0.5,1,4.92983621,19.34490065
13,6,0.5,1,5.873636878,22.17436707
13,7,0.5,1,6.79764298,25.45131492
14,0,0.5,1,0,12.32471741
14,1,0.5,1,0.82992211,13.23967867
14,2,0.5,1,1.904504027,14.38624922
14,3,0.5,1,2.953708541,15.91980662
14,4,0.5,1,3.95943749,17.87274019
14,5,0.5,1,4.929837654,20.25986191
14,6,0.5,1,5.873636404,23.08932833
15,0,0.5,1,0,13.23967867
15,1,0.5,1,0.829922371,14.15463994
15,2,0.5,1,1.904503779,15.30121049
15,3,0.5,1,2.953706715,16.83476789
15,4,0.5,1,3.95943704,18.78770146
15,5,0.5,1,4.929838096,21.17482318
16,0,0.5,1,0,14.15463994
16,1,0.5,1,0.829921643,15.06960121
16,2,0.5,1,1.9045049,16.21617175
16,3,0.5,1,2.953708541,17.74972916
16,4,0.5,1,3.959437911,19.70266273
17,0,0.5,1,0,15.06960121
17,1,0.5,1,0.82992246,15.98456247
17,2,0.5,1,1.904503259,17.13113302
17,3,0.5,1,2.953708688,18.66469042
18,0,0.5,1,0,15.98456247
18,1,0.5,1,0.829922314,16.89952374
18,2,0.5,1,1.904504063,18.04609429
19,0,0.5,1,0,16.89952374
19,1,0.5,1,0.829922314,17.81448501
20,0,0.5,1,0,17.81448501
0,0,0.6,1,nan,0
0,1,0.6,1,nan,0.6
0,2,0.6,1,nan,1.6
0,3,0.6,1,nan,3
0,4,0.6,1,nan,4.8
0,5,0.6,1,nan,7
0,6,0.6,1,nan,9.6
0,7,0.6,1,nan,12.6
0,8,0.6,1,nan,16
0,9,0.6,1,nan,19.8
0,10,0.6,1,nan,24
0,11,0.6,1,nan,28.6
0,12,0.6,1,nan,33.6
0,13,0.6,1,nan,39
0,14,0.6,1,nan,44.8
0,15,0.6,1,nan,51
0,16,0.6,1,nan,57.6
0,17,0.6,1,nan,64.6
0,18,0.6,1,nan,72
0,19,0.6,1,nan,79.8
0,20,0.6,1,nan,88
1,0,0.6,1,0,0.6
1,1,0.6,1,0.510825591,1.506495374
1,2,0.6,1,1.445089974,2.656221617
1,3,0.6,1,2.450596952,4.114478421
1,4,0.6,1,3.451762107,5.902624521
1,5,0.6,1,4.435518219,8.033512453
1,6,0.6,1,5.40211173,10.51503529
1,7,0.6,1,6.354083675,13.35237989
1,8,0.6,1,7.294035215,16.54919451
1,9,0.6,1,8.224255882,20.10819115
1,10,0.6,1,9.14664658,24.03147781
1,11,0.6,1,10.06274894,28.32075328
1,12,0.6,1,10.97379186,32.97742745
1,13,0.6,1,11.88075026,38.00269873
1,14,0.6,1,12.78445528,43.39760599
1,15,0.6,1,13.6855735,49.16306431
1,16,0.6,1,14.58460078,55.29989049
1,17,0.6,1,15.48200428,61.80882165
1,18,0.6,1,16.37811958,68.69052909
1,19,0.6,1,17.27335086,75.94562888
2,0,0.6,1,0,1.506495374
2,1,0.6,1,0.650349434,2.496705067
2,2,0.6,1,1.618879994,3.657158683
2,3,0.6,1,2.614708289,5.116519536
2,4,0.6,1,3.596179072,6.903498317
2,5,0.6,1,4.558160957,9.03212245
2,6,0.6,1,5.502740907,11.5104692
2,7,0.6,1,6.432914025,14.34373377
2,8,0.6,1,7.351497544,17.53554417
2,9,0.6,1,8.260827922,21.08859602
2,10,0.6,1,9.162840097,25.00499114
2,11,0.6,1,10.05911438,29.28643193
2,12,0.6,1,10.95083552,33.93433972
2,13,0.6,1,0,43.39760599
2,14,0.6,1,0,49.16306431
2,15,0.6,1,0,55.29989049
2,16,0.6,1,0,61.80882165
2,17,0.6,1,0,68.69052909
2,18,0.6,1,0,75.94562888
3,0,0.6,1,0,2.496705067
3,1,0.6,1,0.659636533,3.492487027
3,2,0.6,1,1.628882937,4.653134768
3,3,0.6,1,2.623976831,6.11244469
3,4,0.6,1,3.604499974,7.899359815
3,5,0.6,1,4.565539454,10.02792192
3,6,0.6,1,5.509232881,12.50620107
3,7,0.6,1,6.438574938,15.33938538
3,8,0.6,1,7.356349294,18.53109775
3,9,0.6,1,8.26490909,22.0840305
3,10,0.6,1,9.166205485,26.00028337
3,11,0.6,1,10.06176353,30.28155762
3,12,0.6,1,10.95311843,34.92935189
3,13,0.6,1,11.84186012,39.94506231
3,14,0.6,1,12.72948273,45.33000809
3,15,0.6,1,13.61717056,51.08542351
3,16,0.6,1,14.50580799,57.21244282
3,17,0.6,1,15.39597625,63.71208968
4,0,0.6,1,0,3.492487027
4,1,0.6,1,0.659803857,4.48836935
4,2,0.6,1,1.62902553,5.649006836
4,3,0.6,1,2.624089782,7.108308123
4,4,0.6,1,3.604588257,8.895216566
4,5,0.6,1,4.565605894,11.02377301
4,6,0.6,1,5.509281999,13.50204694
4,7,0.6,1,6.43860603,16.33522614
4,8,0.6,1,7.356365391,19.52693332
4,9,0.6,1,8.264917192,23.07986068
4,10,0.6,1,9.166193725,26.99610789
4,11,0.6,1,10.06174296,31.27737614
4,12,0.6,1,10.95277102,35.92508621
4,13,0.6,1,0,45.33000809
4,14,0.6,1,0,51.08542351
4,15,0.6,1,0,57.21244282
4,16,0.6,1,0,63.71208968
5,0,0.6,1,0,4.48836935
5,1,0.6,1,0.65979487,5.484246371
5,2,0.6,1,1.629011821,6.644882177
5,3,0.6,1,2.6240742,8.104182438
5,4,0.6,1,3.604571215,9.891090017
5,5,0.6,1,4.565591752,12.01964565
5,6,0.6,1,5.509263856,14.49791879
5,7,0.6,1,6.438592192,17.3310972
5,8,0.6,1,7.356346,20.5228036
5,9,0.6,1,8.264896621,24.07573017
5,10,0.6,1,9.166174151,27.9919766
5,11,0.6,1,10.06170371,32.27324407
5,12,0.6,1,10.95303435,36.9210302
5,13,0.6,1,11.84177689,41.93672872
5,14,0.6,1,12.72936426,47.32165536
5,15,0.6,1,13.616962,53.07704047
6,0,0.6,1,0,5.484246371
6,1,0.6,1,0.659793742,6.480122523
6,2,0.6,1,1.629010185,7.640758131
6,3,0.6,1,2.624071429,9.100058265
6,4,0.6,1,3.604568841,10.88696573
6,5,0.6,1,4.565588869,13.01552126
6,6,0.6,1,5.509261372,15.49379429
6,7,0.6,1,6.438588091,18.32697259
6,8,0.6,1,7.35634952,21.51867888
6,9,0.6,1,8.264893032,25.07160535
6,10,0.6,1,9.1661669,28.98785166
6,11,0.6,1,10.06172134,33.26911903
6,12,0.6,1,10.95275268,37.91682822
6,13,0.6,1,0,47.32165536
6,14,0.6,1,0,53.07704047
7,0,0.6,1,0,6.480122523
7,1,0.6,1,0.659793303,7.475998573
7,2,0.6,1,1.629009626,8.636634156
7,3,0.6,1,2.624071477,10.09593428
7,4,0.6,1,3.604568966,11.88284173
7,5,0.6,1,4.565587508,14.01139724
7,6,0.6,1,5.509262445,16.48967025
7,7,0.6,1,6.438586901,19.32284854
7,8,0.6,1,7.356349863,22.51455482
7,9,0.6,1,8.264892332,26.06748127
7,10,0.6,1,9.166173725,29.98372757
7,11,0.6,1,10.06174306,34.26499492
7,12,0.6,1,10.95303819,38.91278092
7,13,0.6,1,11.84181629,43.92847931
8,0,0.6,1,0,7.475998573
8,1,0.6,1,0.65979334,8.47187461
8,2,0.6,1,1.629009222,9.63251019
8,3,0.6,1,2.624071477,11.09181031
8,4,0.6,1,3.604567852,12.87871776
8,5,0.6,1,4.565588103,15.00727327
8,6,0.6,1,5.509262307,17.48554628
8,7,0.6,1,6.438586787,20.31872457
8,8,0.6,1,7.356341716,23.51043084
8,9,0.6,1,8.264885251,27.06335729
8,10,0.6,1,9.16617331,30.97960359
8,11,0.6,1,10.06171603,35.26087094
8,12,0.6,1,10.95276544,39.90858011
9,0,0.6,1,0,8.47187461
9,1,0.6,1,0.659793257,9.467750646
9,2,0.6,1,1.629009267,10.62838623
9,3,0.6,1,2.62407249,12.08768634
9,4,0.6,1,3.60456995,13.87459379
9,5,0.6,1,4.565586504,16.0031493
9,6,0.6,1,5.509262526,18.48142232
9,7,0.6,1,6.438585416,21.3146006
9,8,0.6,1,7.356343066,24.50630688
9,9,0.6,1,8.264890593,28.05923333
9,10,0.6,1,9.166183611,31.97547963
9,11,0.6,1,10.06171445,36.25674697
10,0,0.6,1,0,9.467750646
10,1,0.6,1,0.659793389,10.46362668
10,2,0.6,1,1.629009066,11.62426226
10,3,0.6,1,2.624071069,13.08356238
10,4,0.6,1,3.604567376,14.87046983
10,5,0.6,1,4.565585773,16.99902534
10,6,0.6,1,5.5092637,19.47729835
10,7,0.6,1,6.438587729,22.31047664
10,8,0.6,1,7.356345279,25.50218291
10,9,0.6,1,8.264892633,29.05510936
10,10,0.6,1,9.16618213,32.97135566
11,0,0.6,1,0,10.46362668
11,1,0.6,1,0.659793863,11.45950272
11,2,0.6,1,1.629009967,12.6201383
11,3,0.6,1,2.624070855,14.07943841
11,4,0.6,1,3.604568324,15.86634587
11,5,0.6,1,4.565587813,17.99490137
11,6,0.6,1,5.509261267,20.47317439
11,7,0.6,1,6.438587119,23.30635267
11,8,0.6,1,7.3563426,26.49805895
11,9,0.6,1,8.264890063,30.0509854
12,0,0.6,1,0,11.45950272
12,1,0.6,1,0.65979328,12.45537875
12,2,0.6,1,1.629009376,13.61601433
12,3,0.6,1,2.624071272,15.07531445
12,4,0.6,1,3.604569859,16.8622219
12,5,0.6,1,4.565588198,18.99077741
12,6,0.6,1,5.509259557,21.46905042
12,7,0.6,1,6.438589422,24.30222871
12,8,0.6,1,7.356345593,27.49393498
13,0,0.6,1,0,12.45537875
13,1,0.6,1,0.659793442,13.45125479
13,2,0.6,1,1.629009219,14.61189037
13,3,0.6,1,2.624070672,16.07119048
13,4,0.6,1,3.604568815,17.85809794
13,5,0.6,1,4.565589985,19.98665344
13,6,0.6,1,5.509257854,22.46492646
13,7,0.6,1,6.438586738,25.29810474
14,0,0.6,1,0,13.45125479
14,1,0.6,1,0.65979376,14.44713082
14,2,0.6,1,1.629009545,15.6077664
14,3,0.6,1,2.624071424,17.06706652
14,4,0.6,1,3.604568716,18.85397397
14,5,0.6,1,4.565590921,20.98252948
14,6,0.6,1,5.509260533,23.46080249
15,0,0.6,1,0,14.44713082
15,1,0.6,1,0.659793748,15.44300686
15,2,0.6,1,1.629008834,16.60364244
15,3,0.6,1,2.624071647,18.06294255
15,4,0.6,1,3.604567461,19.84985001
15,5,0.6,1,4.565587654,21.97840551
16,0,0.6,1,0,15.44300686
16,1,0.6,1,0.659793262,16.43888289
16,2,0.6,1,1.629009597,17.59951847
16,3,0.6,1,2.624072646,19.05881859
16,4,0.6,1,3.604569742,20.84572604
17,0,0.6,1,0,16.43888289
17,1,0.6,1,0.659793274,17.43475893
17,2,0.6,1,1.629009517,18.59539451
17,3,0.6,1,2.624071883,20.05469463
18,0,0.6,1,0,17.43475893
18,1,0.6,1,0.659794054,18.43063496
18,2,0.6,1,1.6290086,19.59127054
19,0,0.6,1,0,18.43063496
19,1,0.6,1,0.659793214,19.426511
20,0,0.6,1,0,19.426511
0,0,0.7,1,nan,0
0,1,0.7,1,nan,0.7
0,2,0.7,1,nan,1.7
0,3,0.7,1,nan,3
0,4,0.7,1,nan,4.6
0,5,0.7,1,nan,6.5
0,6,0.7,1,nan,8.7
0,7,0.7,1,nan,11.2
0,8,0.7,1,nan,14
0,9,0.7,1,nan,17.1
0,10,0.7,1,nan,20.5
0,11,0.7,1,nan,24.2
0,12,0.7,1,nan,28.2
0,13,0.7,1,nan,32.5
0,14,0.7,1,nan,37.1
0,15,0.7,1,nan,42
0,16,0.7,1,nan,47.2
0,17,0.7,1,nan,52.7
0,18,0.7,1,nan,58.5
0,19,0.7,1,nan,64.6
0,20,0.7,1,nan,71
1,0,0.7,1,0,0.7
1,1,0.7,1,0.356673715,1.649672461
1,2,0.7,1,1.148038191,2.790623275
1,3,0.7,1,2.064789415,4.16219485
1,4,0.7,1,3.015554064,5.777650197
1,5,0.7,1,3.970619134,7.646283174
1,6,0.7,1,4.921732775,9.774498739
1,7,0.7,1,5.866741254,12.166754
1,8,0.7,1,6.805359786,14.82628693
1,9,0.7,1,7.738015349,17.75554717
1,10,0.7,1,8.665469817,20.95645298
1,11,0.7,1,9.588271081,24.43055061
1,12,0.7,1,10.50715269,28.17911722
1,13,0.7,1,11.4226755,32.20322973
1,14,0.7,1,12.33528635,36.50381223
1,15,0.7,1,13.24562036,41.08166964
1,16,0.7,1,14.15389586,45.93751212
1,17,0.7,1,15.06047237,51.07197316
1,18,0.7,1,15.96563352,56.48562325
1,19,0.7,1,16.86958811,62.17898039
2,0,0.7,1,0,1.649672461
2,1,0.7,1,0.488535517,2.691648295
2,2,0.7,1,1.337981481,3.852041518
2,3,0.7,1,2.259589912,5.228815721
2,4,0.7,1,3.197157557,6.845207
2,5,0.7,1,4.133769449,8.712998955
